test,stat,pvalue,df,runtime_ms,converged_full,converged_null,error_type,failed,reject,scenario,scenario_slug,hypothesis_id,n,effect_size,rep,seed,alpha,null_spec,null_df,notes,is_null
score,0.02190589796690437,0.8823377080038245,1,0.10170000314246863,False,True,,False,False,Weak identification: severe collinearity,collinearity,main,120,0.0,0,8132410800921299370,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,True
lr,,,1,0.000800006091594696,False,True,ill_conditioned_xtx,True,False,Weak identification: severe collinearity,collinearity,main,120,0.0,0,8132410800921299370,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,True
wald,,,1,0.0010000003385357559,False,True,ill_conditioned_xtx,True,False,Weak identification: severe collinearity,collinearity,main,120,0.0,1,9039451141741495086,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,True
score,0.10762012321825687,0.7428700312522456,1,0.09519999730400741,False,True,,False,False,Weak identification: severe collinearity,collinearity,main,120,0.0,1,9039451141741495086,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,True
lr,,,1,0.0010999938240274787,False,True,ill_conditioned_xtx,True,False,Weak identification: severe collinearity,collinearity,main,120,0.0,1,9039451141741495086,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,True
wald,,,1,0.0011000010999850929,False,True,ill_conditioned_xtx,True,False,Weak identification: severe collinearity,collinearity,main,120,0.0,2,5278316258222940356,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,True
score,,,1,0.030800001695752144,False,True,negative_stat,True,False,Weak identification: severe collinearity,collinearity,main,120,0.0,2,5278316258222940356,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,True
lr,,,1,0.0006999980541877449,False,True,ill_conditioned_xtx,True,False,Weak identification: severe collinearity,collinearity,main,120,0.0,2,5278316258222940356,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,True
wald,,,1,0.0010000003385357559,False,True,ill_conditioned_xtx,True,False,Weak identification: severe collinearity,collinearity,main,120,0.0,3,8065952544027696414,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,True
score,0.031435269246132214,0.8592727967639641,1,0.10320000001229346,False,True,,False,False,Weak identification: severe collinearity,collinearity,main,120,0.0,3,8065952544027696414,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,True
lr,,,1,0.0008999995770864189,False,True,ill_conditioned_xtx,True,False,Weak identification: severe collinearity,collinearity,main,120,0.0,3,8065952544027696414,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,True
